Tiempo(ms);X(m/s²);Y(m/s²);Z(m/s²)
130905;-3.06;-6.32;0.51
130925;-1.41;-6.75;0.86
130945;0.2;-6.43;0.31
130965;1.84;-6.2;0.2
130985;3.22;-6.9;0.71
131005;4.67;-7.61;1.53
131025;5.45;-8.16;2.31
131045;5.45;-8.75;3.65
131065;5.26;-8.75;3.65
131085;4.28;-9.45;4.75
131105;4.04;-11.49;3.06
131125;2.47;-10.32;6.32
131145;1.61;-10.24;7.65
131165;1.92;-10.12;8.63
131185;1.84;-9.69;9.85
131205;-0.12;-8.87;11.45
131225;-0.9;-8.83;14.55
131245;-2.79;-7.81;15.18
131265;-4.71;-6.43;15.18
131285;-5.37;-4.75;17.93
131305;-5.84;-1.37;20.36
131325;-6.9;1.33;22.63
131345;-10.4;4.12;25.81
131365;-15.02;8.59;27.5
131385;-24.05;16.28;27.85
131405;-34.28;22.48;27.14
131425;-41.31;26.36;21.42
131445;-45.97;33.66;18.95
131465;-86.1;62.57;-21.34
131485;-31.19;30.52;11.18
131505;-45.03;30.09;7.65
131525;-45.03;32.52;4.12
131545;-50.52;32.52;13.49
131565;-62.76;31.5;13.49
131585;-45.23;35.19;0.08
131605;-41.27;30.28;-6.2
131625;-34.32;26.05;-6.16
131645;-29.66;26.99;-3.49
131665;-26.6;26.48;-5.33
131685;-23.03;21.93;-8.55
131705;-20.4;18.4;-7.34
131725;-19.38;16.51;-7.26
131745;-16.32;13.81;-7.61
131765;-12.55;10.0;-8.2
131785;-9.96;8.24;-9.1
131805;-7.96;6.2;-10.55
131825;-5.88;4.12;-10.32
131845;-4.71;1.69;-10.43
131865;-4.75;0.27;-10.87
131885;-4.16;-1.77;-10.75
131905;-4.16;-3.53;-10.79
131925;-5.02;-3.49;-10.24
131945;-5.06;-3.06;-9.57
131965;-4.43;-2.47;-9.14
131985;-4.51;-2.98;-9.3
132005;-4.9;-4.08;-8.98
132025;-4.9;-4.08;-8.0
132045;-5.02;-4.75;-8.0
132065;-5.81;-5.73;-7.49
132085;-6.98;-6.98;-6.98
